r,gtscnw,gtst,gtst,gtst,gtst,gtst,gtscne,,,p,p,p,p,p,,,,,,,,,m,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,r
r,gtsl,w,w,w,w,w,gtsr,,,,p,p,p,p,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,,,,,,,r,r,r,,,,r,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,p,p,p,p,p,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,,,,,r
r,gtsl,w,w,w,w,w,gtsr,,,,p,p,p,p,,,i,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,gtscnw,gtst,gtst,gtscne,,,,,,,,,,,,,r,r,r,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,,,,,r
r,gtsl,w,w,w,w,w,gtsr,m,,,p,p,p,p,,,,,,,,,,,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,gtsl,w,w,gtsr,,,,,,,,,,,,,r,r,r,r,r,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,,,i,,,,,,,,,,,,,p,p,p,p,p,p,,,r,,r
r,gtsl,w,w,w,w,w,gtsr,,,,p,p,p,p,p,,,,,,,,,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,gtsl,w,w,gtsr,,,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,,,,,,,,,,,,,,,,,p,p,p,p,p,p,,,,r
r,gtsl,w,w,w,w,w,gtsr,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,r,r,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtsl,w,w,gtsr,,m,,,,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,r,,r,r,,,,,,,,,,,,,,,,r,r,,,,p,p,p,p,p,p,,,,,,,,,r,,,,,,,,p,p,p,p,p,,,,r
r,gtsl,w,w,w,w,w,gtsr,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,r,,,r,r,r,r,,,,i,,,,,gtscnw,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtscne,gtsl,w,w,gtsr,,,,,,,,,,,,,m,,,,,,,,,,r,r,r,,,,,,,,,r,,r,,,,m,,,,,,,,,,,,,,m,,,,p,p,p,p,p,,,,,,,,,,r,,,,,,,p,p,p,p,p,,,,r
r,gtscsw,gtsb,gtsb,gtsb,gtsb,gtsb,gtscse,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,r,r,r,r,,,,,,,,,,,,gtsl,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,gtsr,gtsl,w,w,gtsr,gtscnw,gtst,gtst,gtst,gtscne,,,,,,,,,,,,,,,i,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,,,,,,,,,,,,,,,,,p,p,p,p,p,,,,r
r,,gtscnw,gtst,gtst,gtst,gtst,gtscne,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,r,,r,r,r,r,,,,,,,,,,,,gtsl,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,gtsr,gtsl,w,w,gtsr,gtsl,w,w,w,gtsr,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,,,,,,,,,,,,,,,,p,p,p,p,,,,r
r,,gtsl,w,w,w,w,gtsr,gtscnw,gtst,gtst,gtst,gtst,gtst,gtscne,,,,,,,,,,,,,,,,,,,r,,,,r,,,,,,,,,,,,,gtsl,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,gtsr,gtsl,w,w,gtsr,gtsl,w,w,w,gtsr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,,,,,,,,,,,,,,,,p,p,p,p,,,,r
r,,gtsl,w,w,w,w,gtsr,gtsl,w,w,w,w,w,gtsr,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,gtscnw,gtst,gtst,gtst,gtscne,gtsl,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,gtsr,gtsl,w,w,gtsr,gtsl,w,w,w,gtsr,,,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,p,p,p,p,p,r,r,r,,,,,,,,,,,,,p,p,p,p,,,,r
r,,gtsl,w,w,w,w,gtsr,gtsl,w,w,w,w,w,gtsr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,gtsl,w,w,w,gtsr,gtsl,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,gtsr,gtsl,w,w,gtsr,gtsl,w,w,w,gtsr,,,r,,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,,,,p,p,p,p,p,,,r,,,,,,,,,,,,,p,p,p,p,,,,r
r,,gtsl,w,w,w,w,gtsr,gtsl,w,w,w,w,w,gtsr,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,gtsl,w,w,w,gtsr,gtsl,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,gtsr,gtsl,w,w,gtsr,gtscsw,gtsb,gtsb,gtsb,gtst,,,r,,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,m,,,,,,,,,,r,r,,,,,,,,,r,,,p,p,p,p,p,,,r,,,,,,,,,,,,p,p,p,p,p,,,,r
r,,gtsl,w,w,w,w,gtsr,gtsl,w,w,w,w,w,gtsr,,m,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,gtsl,w,w,w,gtsr,gtsl,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,gtsr,gtsl,w,w,gtsr,,,,,,,,r,,,,,,,,,,,,,,,,,,,r,r,,,,,r,r,,,,,,,,i,,,,,r,r,,,,,,,,,r,,,p,p,p,p,,,,r,,,,,r,r,,,,,,p,p,p,p,p,,,,r
r,,gtsl,w,w,w,w,gtsr,gtscsw,gtsb,gtsb,gtsb,gtsb,gtsb,gtscse,,,,,,,,,,,,r,r,,m,,,,,,,,,,,,,,,,gtsl,w,w,w,gtsr,gtsl,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,gtsr,gtsl,w,w,gtsr,m,,,,,,,r,,,,,m,,,,,,,,,,,,,,r,r,,,,,r,r,,,,,,,,,,,,,r,r,,,r,,,,,,r,,,p,p,p,p,,,,r,,,,r,r,r,,,,,p,p,p,p,p,,,,,r
r,,gtsl,w,w,w,w,gtsr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gtsl,w,w,w,gtsr,gtsl,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,gtsr,gtscsw,gtsb,gtsb,gtst,,,,,,,,r,,,,,,,,,,,,,,,m,,,,r,r,,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,p,p,,,,,r,,,,r,r,,,,,,p,p,p,p,,,,,,r
r,,gtsl,w,w,w,w,gtsr,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,,,,,,,gtsl,w,w,w,gtsr,gtsl,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,gtsr,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,,,,r,,,,r,r,,,,,,p,p,p,p,,,,,,r
r,,gtsl,w,w,w,w,gtsr,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,gtsl,w,w,w,gtsr,gtsl,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,gtsr,,,,,,,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,m,,,,,,r,r,,,,,,m,,,,,,,,,,,,,r,,,,,,,,,,,p,p,p,p,,,m,,,r
r,,gtscsw,gtsb,gtsb,gtsb,gtsb,gtscse,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,gtscsw,gtsb,gtsb,gtsb,gtst,gtsl,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,gtsr,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,i,,,,,,r,r,,,m,,,,,,,,,,,,,,,,r,r,,,,,,,,,,,i,,,,,,,,r,,,,,r,r,,,,,p,p,p,p,,,,,,r
r,gtscnw,gtst,gtst,gtst,gtst,gtst,gtscne,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,gtsl,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,gtsr,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,m,,,,,,,,,,r,r,,,,,,m,,,,,,,,,,,,,r,r,,,r,,,,,,,,,,,,,,,,r,,,,,r,r,,,,p,p,p,p,,,,,,,r
r,gtsl,w,w,w,w,w,gtsr,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,,,gtscsw,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtst,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,i,,,r,r,,,,,,i,,,,,,,,,,,,,r,,,,,,r,,,,p,p,p,p,,,,,,,r
r,gtsl,w,w,w,w,w,gtsr,,,,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,,,m,,gtscnw,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtscne,,,,,,,,p,p,p,p,p,,,,,,r,,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,,m,,,,,r,r,,,r,,,,,,,,,p,p,p,p,p,,,,,,,r
r,gtsl,w,w,w,w,w,gtsr,,,,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,,,,gtsl,w,w,w,w,w,w,w,w,gtsr,,,,,,,p,p,p,p,,,,,,,,r,,,,,,,,,,,,,,,,,,,r,r,,,,p,p,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,,,,r,,,,,,,,p,p,p,p,p,p,,,,,,,r
r,gtscsw,gtsb,gtsb,gtsb,gtsb,gtsb,gtscse,,,p,p,p,p,,,,r,,,,,,,,r,r,,,,,,r,r,r,,,,,,,,,,,p,p,p,p,p,,,,gtsl,w,w,w,w,w,w,w,w,gtsr,,,,,,,p,p,p,p,,,,,,,,r,,,,,,,,,,,,,,,,,,,r,r,,,p,p,p,p,,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,,,,r,,,,r,,,,p,p,p,p,p,p,,,,,,,r
r,,gtscnw,gtst,gtst,gtst,gtscne,,,,p,p,p,p,,,r,r,,,,,,,,r,r,,,,r,r,r,r,r,,,,,,,,,,,,p,p,p,p,,,,gtsl,w,w,w,w,w,w,w,w,gtsr,,m,,,,,p,p,p,p,,,,,,,,r,,,,,,,,,,,,,,,,i,,,r,r,,p,p,p,p,p,,,,,,,,,,,,,r,r,,,,,,,r,r,,,,,,,,,,,r,,,,,,,p,p,p,p,p,,,,,r,,,,r
r,,gtsl,w,w,w,gtsr,,,p,p,p,p,,,,r,r,,,,,,,,,,,,,r,r,r,r,r,,,,,,,,,,,,,p,p,p,p,,,gtsl,w,w,w,w,w,w,w,w,gtsr,,,,,,,p,p,p,p,,,,,,,,r,,,,,,m,,,,,,,,,,,,,r,r,,p,p,p,p,p,,,,,,m,,,,r,,,r,r,,,m,,,,r,r,,,,,,,,,,,r,,,,,,,p,p,p,p,p,,,,,,,,,r
r,,gtsl,w,w,w,gtsr,,,p,p,p,p,,,,,,,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,p,p,p,p,,,gtsl,w,w,w,w,w,w,w,w,gtsr,,,,,,p,p,p,p,,,,,,,,,r,,,,,,,,,,,,,,,,,,,r,r,,,p,p,p,p,p,,,,,,,,,,,,r,r,,,,,,,,,,,,,m,,,,,,r,,,,,,,p,p,p,p,p,,,,,,,,,r
r,,gtsl,w,w,w,gtsr,,,p,p,p,p,,,,r,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,p,p,p,p,,,gtscsw,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtst,,,,,,p,p,p,p,,,,,i,,,,r,,,,,,,,,,,,,,,,,,,r,r,,,p,p,p,p,p,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,,,,r,,,r,,,,p,p,p,p,p,,,,,,,,,r
r,,gtscsw,gtsb,gtsb,gtsb,gtscse,,,p,p,p,p,,,,,,,,,,i,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,,,,,,,,,,,,,,,,,,p,p,p,p,,,,,,,,,r,,,,,,,,,,,,,,,,,,,r,r,,,,p,p,p,p,,,,,,,,,,,,r,r,,,,,,,,,,,,,,,,,,,r,,,r,,,,p,p,p,p,,,,r,,,r,,,r
r,,,,,,,,,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,,,,,,,,,,,,,,,,,,p,p,p,p,,,,,,,,,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,p,p,p,p,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,,,r,,,,p,p,p,p,,,,r,,,,,,r
r,,,,,,,,,p,p,p,p,,,,,,,,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,,,,,,,,p,p,p,p,,,,,,,,,,,,,,,,,,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,r,,,p,p,p,p,,,,r,r,,,,,r
r,,,,,,,,,p,p,p,p,,,,,,,,r,,,,,,,,,,,,,,,,,,,r,,,,,,,,p,p,p,p,,,,,,,,,,,,,,,,,,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,r,,,p,p,p,p,,,r,r,,r,,,,r
r,,,,,,,,p,p,p,p,,,,,,,,,r,,,,,,,,,,,,,,,,,i,,r,,,,,,,,p,p,p,p,,,,,,,,,,,,,,,,,,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,p,p,p,p,p,p,p,,,,,,,p,p,p,p,p,,,,,,,,,,,,r,,,,,,r,,,r,r,,,p,p,p,p,,,,r,,r,,,,r
r,,,,,,,,p,p,p,p,,,,,,,,,r,,,,,,,,,,,,,m,,,,,,r,,,,,,,,p,p,p,p,,,,,,,,,,,,r,,,,,,,p,p,p,p,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,r,,r,r,,,,,,,,,,r,r,r,r,,,p,p,p,p,,,,,,,,r,,r
r,,,,p,p,p,p,p,p,p,p,,,,,,,,,r,,,,r,r,,,,,,,,,,,,,,r,,,,,,,,p,p,p,p,,,,,,,,,,,,,,r,r,,,,p,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,r,r,,,,r,,r,,,,r,r,,r,,,p,p,p,p,,,,,,r,,,,r
r,,,,p,p,p,p,p,p,p,p,,,,,,,,,r,,,,,,,,,,,,,,,r,r,,,r,,,,,,,,p,p,p,p,p,,,,,,,,,,,,,,,,,,p,p,p,p,p,,,,,,,,,,,,,p,p,p,p,p,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,,,r,r,,r,,,p,p,p,p,,,,r,r,,,,,r
r,,,,p,p,p,p,p,p,,,,,,,,,,,r,,,,,,,,,,,,,,,r,r,,,r,,,,,,,,p,p,p,p,p,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,r,,,,,,,,,p,p,p,p,,,,r,r,,,,,r
r,,,p,p,p,p,p,p,,,,,,m,,,,,,r,,,,,,,,,m,,,,,,r,r,,,r,,,,,,,,,p,p,p,p,p,p,p,p,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,p,p,p,p,,p,p,p,p,p,p,,,,,,p,p,p,p,p,p,p,p,,,,,,,,,,r,,,r,,,,,p,p,p,p,,,r,r,,,,,r
r,,,p,p,p,p,p,,,,,,,,,,,p,p,p,p,p,p,,,,,,,,,,,,,,,,r,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,p,p,p,p,p,,,r,r,,,r,,r
r,,,p,p,p,p,,,,,,,,,,,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,r,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,p,p,p,p,p,p,p,,,r,r,,,,,r
r,,p,p,p,p,p,,,,,,,,,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,r,gtscnw,gtst,gtst,gtst,gtscne,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,gtscnw,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtscne,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,gtscnw,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtst,gtscne,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,r
r,,p,p,p,p,p,,,,,,,,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,,r,gtsl,w,w,w,gtsr,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,,,,,,,gtsl,w,w,w,w,w,w,w,w,w,gtsr,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,gtsl,w,w,w,w,w,w,w,w,w,w,gtsr,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,,,,,,r
r,,p,p,p,p,p,,,,,,,,p,p,p,p,p,,r,,,,,,,,,,,,,,,m,,,,r,gtsl,w,w,w,gtsr,gtscnw,gtst,gtst,gtst,gtst,gtst,gtst,gtscne,,,,,,,,,,,,,,p,p,p,p,,,,,,,,,,,,,,,gtsl,w,w,w,w,w,w,w,w,w,gtsr,,,,,,,,,,,p,p,p,p,,,gtsl,w,w,w,w,w,w,w,w,w,w,gtsr,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,r,r,,,,r
r,,p,p,p,,,,,,,,,,p,p,p,p,,,r,,,,,,,,,,,,,,,,,,,r,gtsl,w,w,w,gtsr,gtsl,w,w,w,w,w,w,gtsr,,,,,,,,,,,,,,p,p,p,p,,,,,r,r,,,,,,,m,,gtsl,w,w,w,w,w,w,w,w,w,gtsr,,,,,,,,,,,,,,,,,gtsl,w,w,w,w,w,w,w,w,w,w,gtsr,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,,,,r,r,,,,r
r,,p,p,p,p,p,,,,,,,,p,p,p,p,,,r,,,,,,,,,m,,,,r,r,,,,,r,gtsl,w,w,w,gtsr,gtsl,w,w,w,w,w,w,gtsr,,,,,,,,,,,m,,,p,p,p,p,,,,,,,,,,,,,,,gtsl,w,w,w,w,w,w,w,w,w,gtsr,r,,,,,,,,,,,,,,,,gtscsw,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtsb,gtscse,,,,,,,,r,,,,,,,p,p,p,p,p,p,p,,,,p,p,p,p,,,r,,,r,r,,r
